shortDate,Time,Benutzer,kleine Änderung,Kommentar,Größenänderung in Bytes,Größe in Bytes,ID,Date&Time
2018-02-17,14:51,Aka,k,"Tippfehler entfernt, Zeichen zwischen Referenzen entfernt, Links optimiert",-17‎ ,54.736,174109803,2018-02-17T14:51:00Z
2018-02-17,13:21,Allander,,"+Einleitung und grundlegende Definition, Vorhandenes verschoben",+5.617‎ ,54.753,174106627,2018-02-17T13:21:00Z
2018-01-14,16:41,ⵁ,k,"82.73.115.227 (<a href=""/w/index.php?title=Benutzer_Diskussion:82.73.115.227&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:82.73.115.227 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Ot"" title=""Benutzer:Ot"">Ot zurückgesetzt",-305‎ ,49.136,172917795,2018-01-14T16:41:00Z
2018-01-14,16:40,82.73.115.227,,"→‎Begriff:  und die große Verunsicherung durch unkontrollierbare Einstrom von ökonomische Migranten (durch links immer als ,,Fluchtlinge,, bezeichnet) aus andere Kontinenten mit eine Islamitische Ideologie die man als sehr frau unfreundlich wahrnehmt,",+305‎ ,49.441,172917738,2018-01-14T16:40:00Z
2017-12-25,07:51,Ot,,"Hausimausi rückgängig gemacht; siehe <a href=""/wiki/Wikipedia:WEB"" class=""mw-redirect"" title=""Wikipedia:WEB"">WP:WEB",-181‎ ,49.136,172267268,2017-12-25T07:51:00Z
2017-12-24,16:46,Hausimausi,,Ein Glossar über die Mittel und Maßnahmen des Populismus.https://rotherbaron.com/2017/01/05/populismus-und-autoritarismus/,+181‎ ,49.317,172256982,2017-12-24T16:46:00Z
2017-11-28,09:45,Louis Wu,,→‎Literatur:  + Theorien des Populismus zur Einführung,+122‎ ,49.136,171463503,2017-11-28T09:45:00Z
2017-11-24,10:25,Jochen2707,,→‎Literatur:  Ergänzung,+268‎ ,49.014,171333785,2017-11-24T10:25:00Z
2017-11-08,21:04,Niedergrund,k,→‎Argumentationsstrukturen:  Abgrenzung,+27‎ ,48.746,170799502,2017-11-08T21:04:00Z
2017-11-07,12:35,Essayist2017,,→‎Literatur,+346‎ ,48.719,170748877,2017-11-07T12:35:00Z
2017-10-24,14:42,RoBri,k,Revert: Grund: keine Verbesserung des Artikels,+526‎ ,48.373,170284113,2017-10-24T14:42:00Z
2017-10-24,14:20,79.228.106.103,,"Es gibt keinen Grund dem Populismus diese festen Ansichten zuzuordnen, zusätzlich erwirkt es den Anschein das gegenteilige Ansichten nicht populistisch sein / werden können.",-526‎ ,47.847,170283516,2017-10-24T14:20:00Z
2017-09-29,09:27,Fiona B.,k,→‎Literatur,0‎ ,48.373,169523290,2017-09-29T09:27:00Z
2017-09-29,09:26,Fiona B.,k,→‎Literatur,+5‎ ,48.373,169523280,2017-09-29T09:26:00Z
2017-09-29,09:25,Fiona B.,,→‎Literatur,+284‎ ,48.368,169523272,2017-09-29T09:25:00Z
2017-09-22,17:25,2003:70:8d40:7c01:3903:642b:cb6d:f51b,,"→‎Literatur:  Ergänzung aktueller Band zum Thema europäischer Populismus, vgl. http://www.transcript-verlag.de/978-3-8376-3838-7/populismus-und-extremismus-in-europa",+260‎ ,48.084,169336952,2017-09-22T17:25:00Z
2017-09-14,07:17,GünniX,k,→‎Literatur:  Klammern korrigiert,+1‎ ,47.824,169068767,2017-09-14T07:17:00Z
2017-09-13,08:48,Gib Senf dazu!,,tk kl,+67‎ ,47.823,169036425,2017-09-13T08:48:00Z
2017-08-22,11:47,B.A.Enz,k,"→‎Richtungen des Populismus:  2 × BKL aufgelöst / <a href=""/wiki/Anf%C3%BChrungszeichen#Typografische_Anführungszeichen"" title=""Anführungszeichen"">halbe Anführungszeichen",+14‎ ,47.756,168369650,2017-08-22T11:47:00Z
2017-08-22,11:07,DemokratieDämmerung,,→‎Rechtspopulismus: Inhalt,+68‎ ,47.742,168368697,2017-08-22T11:07:00Z
2017-08-07,22:08,Logograph,,"Ist sein absolutes Markenzeichen; damals wir heute, links wie rechts.",+28‎ ,47.674,167955738,2017-08-07T22:08:00Z
2017-08-07,21:09,Horv2000,,Unsinn,-28‎ ,47.646,167953845,2017-08-07T21:09:00Z
2017-08-01,09:26,Tuchiel,k,,+4‎ ,47.674,167768751,2017-08-01T09:26:00Z
2017-06-04,18:04,Invisigoth67,k,→‎Einleitung:  typo,+1‎ ,47.67,166083456,2017-06-04T18:04:00Z
2017-05-22,04:22,Sitacu,k,→‎Ursachen:  gramm.,-12‎ ,47.669,165714827,2017-05-22T04:22:00Z
2017-05-22,04:16,Sitacu,k,→‎Ursachen,-8‎ ,47.681,165714798,2017-05-22T04:16:00Z
2017-05-18,14:06,B.A.Enz,k,→‎Literatur:  Typographisches,+3‎ ,47.689,165615170,2017-05-18T14:06:00Z
2017-05-17,17:41,Sitacu,,→‎Literatur:  artikel,+161‎ ,47.686,165591807,2017-05-17T17:41:00Z
2017-05-17,17:07,B.A.Enz,k,→‎Literatur:  etwas wikifiziert,+9‎ ,47.525,165590915,2017-05-17T17:07:00Z
2017-05-17,17:01,Sitacu,,→‎Literatur:  dahrendorf,+147‎ ,47.516,165590741,2017-05-17T17:01:00Z
2017-05-15,16:11,Sitacu,,→‎Ursachen:  Jan-Werner Müller,+20‎ ,47.369,165525904,2017-05-15T16:11:00Z
2017-05-04,18:11,Aka,k,Tippfehler entfernt,+1‎ ,47.349,165201288,2017-05-04T18:11:00Z
2017-04-14,08:33,Ot,,"→‎Hochschulschriften:  merkwürdige lit überschrift + -1 <a href=""/wiki/Wikipedia_Diskussion:Literatur/Archiv_2008#Grin_Verlag"" title=""Wikipedia Diskussion:Literatur/Archiv 2008"">Wikipedia_Diskussion:Literatur/Archiv_2008#Grin_Verlag",-185‎ ,47.348,164539748,2017-04-14T08:33:00Z
2017-04-13,12:58,Hgzh,k,Komma,+1‎ ,47.533,164516864,2017-04-13T12:58:00Z
2017-04-07,07:10,Girus,k,Helfer gesucht,-2‎ ,47.532,164320324,2017-04-07T07:10:00Z
2017-04-02,14:26,B.A.Enz,k,→‎Weitere:  BKL aufgelöst,+28‎ ,47.534,164175486,2017-04-02T14:26:00Z
2017-04-02,14:17,Ilja Lorek,k,→‎Hochschulschriften:  erg,+401‎ ,47.506,164175199,2017-04-02T14:17:00Z
2017-04-02,13:22,Ilja Lorek,,→‎Literatur:  erg,+577‎ ,47.105,164173729,2017-04-02T13:22:00Z
2017-04-02,12:20,Ilja Lorek,k,→‎Literatur:  erg,+119‎ ,46.528,164172326,2017-04-02T12:20:00Z
2017-04-02,12:06,Ilja Lorek,,→‎Literatur:  erg,+291‎ ,46.409,164171919,2017-04-02T12:06:00Z
2017-03-25,13:46,Nuuk,,139.11.200.103 rückgängig gemacht; Quelle?,-29‎ ,46.118,163936172,2017-03-25T13:46:00Z
2017-03-24,19:11,139.11.200.103,,"Die ""soziale Gerechtigkeit"" wird im politischen Diskurs als populäres und inhaltsloses Schlagwort verwendet, das auf einer emotionalen Ebene an das natürliche Streben der Menschen nach Gerechtigkeit appeliert (Stammtischniveau).",+29‎ ,46.147,163915121,2017-03-24T19:11:00Z
2017-03-22,05:17,Sitacu,,→‎Einleitung:  s. DS,-106‎ ,46.118,163826835,2017-03-22T05:17:00Z
2017-03-21,22:25,Aka,k,Tippfehler entfernt,-1‎ ,46.224,163819193,2017-03-21T22:25:00Z
2017-03-21,19:04,Allander,k,"""im Wesentlichen"" erg. lt. Disk.",+16‎ ,46.225,163812722,2017-03-21T19:04:00Z
2017-03-21,17:46,Allander,,"Seewolf rückgängig gemacht; Die wichtigsten Ausformungen sollten für den Interessenten sofort zugänglich sein, auch wenn man mit spitzester Klinge noch was rausdrechseln kann.",+90‎ ,46.209,163809019,2017-03-21T17:46:00Z
2017-03-21,17:42,Seewolf,k,"Allander (<a href=""/wiki/Benutzer_Diskussion:Allander"" title=""Benutzer Diskussion:Allander"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Braveheart"" title=""Benutzer:Braveheart"">Braveheart zurückgesetzt",-90‎ ,46.119,163808880,2017-03-21T17:42:00Z
2017-03-21,17:25,Allander,,"Braveheart rückgängig gemacht; In diesen Fall schon, oder gibt es noch eine Ausformung des Populismus?",+90‎ ,46.209,163808436,2017-03-21T17:25:00Z
2017-03-21,17:15,Braveheart,,Allander rückgängig gemacht; Die Welt ist leider nicht bipolar...,-90‎ ,46.119,163808078,2017-03-21T17:15:00Z
2017-03-21,17:15,Sitacu,,→‎Einleitung:  bitte nicht ohne diskussion löschen,+239‎ ,46.209,163808075,2017-03-21T17:15:00Z
2017-03-21,16:12,Allander,,Zwei Ausformungen am Anfang.,+90‎ ,45.97,163806290,2017-03-21T16:12:00Z
2017-03-21,16:08,Allander,k,"176.94.47.114 (<a href=""/w/index.php?title=Benutzer_Diskussion:176.94.47.114&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:176.94.47.114 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Zupanto"" title=""Benutzer:Zupanto"">Zupanto zurückgesetzt",-208‎ ,45.88,163806129,2017-03-21T16:08:00Z
2017-03-15,11:06,176.94.47.114,,,0‎ ,46.088,163598855,2017-03-15T11:06:00Z
2017-03-15,11:05,176.94.47.114,,,+208‎ ,46.088,163598840,2017-03-15T11:05:00Z
2017-03-12,03:02,Zupanto,k,→‎Weitere,0‎ ,45.88,163499430,2017-03-12T03:02:00Z
2017-03-02,17:19,Sitacu,,→‎Weitere:  stegemann neu,+226‎ ,45.88,163193742,2017-03-02T17:19:00Z
2017-03-02,17:15,Sitacu,,→‎Sozialwissenschaft:  +  müller,+1.228‎ ,45.654,163193518,2017-03-02T17:15:00Z
2017-03-01,18:26,Sitacu,,→‎Weitere:  stegemann neu,+564‎ ,44.426,163139622,2017-03-01T18:26:00Z
2017-03-01,18:24,Sitacu,k,Sitacu rückgängig gemacht;,-291‎ ,43.862,163139571,2017-03-01T18:24:00Z
2017-03-01,17:01,Sitacu,,→‎Weitere:  stegemann,+291‎ ,44.153,163135779,2017-03-01T17:01:00Z
2017-02-27,17:41,Sitacu,,→‎Literatur:  stegemann,+154‎ ,43.862,163073605,2017-02-27T17:41:00Z
2017-02-16,12:25,Horst Gräbner,k,"93.231.223.79 (<a href=""/w/index.php?title=Benutzer_Diskussion:93.231.223.79&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:93.231.223.79 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/w/index.php?title=Benutzer:2A02:8070:E283:7500:DD1:ECFD:E791:F8AA&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer:2A02:8070:E283:7500:DD1:ECFD:E791:F8AA (Seite nicht vorhanden)"">2A02:8070:E283:7500:DD1:ECFD:E791:F8AA zurückgesetzt",-216‎ ,43.708,162697204,2017-02-16T12:25:00Z
2017-02-16,12:24,93.231.223.79,,Ich habe mehere Quellen zur Verbesserung des Verständnisses hinzugefügt.Mfg,+216‎ ,43.924,162697183,2017-02-16T12:24:00Z
2017-02-08,00:50,2a02:8070:e283:7500:dd1:ecfd:e791:f8aa,,→‎Ursachen:  Rechtschreibfehler korrigiert,+1‎ ,43.708,162424924,2017-02-08T00:50:00Z
2017-02-07,19:44,Hammermatz,,→‎Geschichte,+7‎ ,43.707,162416855,2017-02-07T19:44:00Z
2017-02-07,08:37,B.A.Enz,k,"→‎Literatur:  abc, form",+12‎ ,43.7,162395804,2017-02-07T08:37:00Z
2017-02-07,08:18,Consbuonomo,,→‎Literatur,+253‎ ,43.688,162395628,2017-02-07T08:18:00Z
2017-01-04,09:03,TaxonBot,k,Bot: Korrektur Halbgeviertstrich,+2‎ ,43.435,161257872,2017-01-04T09:03:00Z
2016-12-20,20:03,Thylacin,,,+271‎ ,43.433,160846285,2016-12-20T20:03:00Z
2016-12-13,13:34,Hnsjrgnweis,k,,+3‎ ,43.162,160600192,2016-12-13T13:34:00Z
2016-12-13,13:11,Hnsjrgnweis,,→‎Populismus als Strategie:  zu allgemeine und vage Aussage gestrichen,-145‎ ,43.159,160599433,2016-12-13T13:11:00Z
2016-12-13,13:09,Hnsjrgnweis,,"→‎Geschichte:  andere Bewertung in den USA; Quelle, Link zum Poujadismus",+785‎ ,43.304,160599381,2016-12-13T13:09:00Z
2016-12-13,12:46,Hnsjrgnweis,,→‎Argumentationsstrukturen:  typo,-2‎ ,42.519,160598654,2016-12-13T12:46:00Z
2016-12-13,12:45,Hnsjrgnweis,,"→‎Wirkmechanismen:  Siehe Diskussion ""Wirkungsmechanismen"" - 3 Abs. gestrichen, Überschrift geändert, neue Quelle, QS-",-1.545‎ ,42.521,160598641,2016-12-13T12:45:00Z
2016-11-30,16:13,Horst-schlaemma,k,→‎Einleitung:  Link,+4‎ ,44.066,160223999,2016-11-30T16:13:00Z
2016-11-22,17:29,Cymothoa exigua,k,"Populismus“: <a href=""/wiki/Wikipedia:WAR"" class=""mw-redirect"" title=""Wikipedia:WAR"">Edit-War ([Bearbeiten=Nur Administratoren] (bis 23. November 2016, 15:29 Uhr (UTC)) [Verschieben=Nur Administratoren] (bis 23. November 2016, 15:29 Uhr (UTC)))",0‎ ,44.062,159959165,2016-11-22T17:29:00Z
2016-11-22,15:21,79.207.33.167,,Wissenschaftliche Definition bevorzugt. Essayistische Kommentare entbehrlich oder zu kürzen,-3.063‎ ,44.062,159955221,2016-11-22T15:21:00Z
2016-11-22,12:21,Allander,,→‎Umgangssprache:  Einfügen des aktuellen Gebrauchs als unspezifisches Schimpfwort,+3.063‎ ,47.125,159950397,2016-11-22T12:21:00Z
2016-11-21,18:11,Horst-schlaemma,,Allander rückgängig gemacht; bitte erst die Disk.seite aufsuchen,-3.017‎ ,44.062,159924290,2016-11-21T18:11:00Z
2016-11-21,17:57,Allander,k,"Horst-schlaemma (<a href=""/wiki/Benutzer_Diskussion:Horst-schlaemma"" title=""Benutzer Diskussion:Horst-schlaemma"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Allander"" title=""Benutzer:Allander"">Allander zurückgesetzt",+3.017‎ ,47.079,159923961,2016-11-21T17:57:00Z
2016-11-21,17:23,Horst-schlaemma,,"→‎Einleitung:  Umstellung. So ggf. konsensfähig, aber für komplette Umdeutung wie im vorigen Edit kein Konsens. Zunal die entsprechenden Inhalte erstmal in den Haupttext gehören.",+8‎ ,44.062,159923009,2016-11-21T17:23:00Z
2016-11-21,17:21,Horst-schlaemma,k,"Allander (<a href=""/wiki/Benutzer_Diskussion:Allander"" title=""Benutzer Diskussion:Allander"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Horst-schlaemma"" title=""Benutzer:Horst-schlaemma"">Horst-schlaemma zurückgesetzt",-3.025‎ ,44.054,159922960,2016-11-21T17:21:00Z
2016-11-21,15:22,Allander,,"""""""""",+2‎ ,47.079,159919439,2016-11-21T15:22:00Z
2016-11-21,15:21,Allander,,neutrale Def. am Anfang erg.,+98‎ ,47.077,159919406,2016-11-21T15:21:00Z
2016-11-21,15:14,Allander,,+2 intlinks,+8‎ ,46.979,159919227,2016-11-21T15:14:00Z
2016-11-21,15:01,Allander,,Einleitung neu,+2.917‎ ,46.971,159918870,2016-11-21T15:01:00Z
2016-11-21,12:46,Horst-schlaemma,,→‎Einleitung:  Argumentum ad populum,+42‎ ,44.054,159914899,2016-11-21T12:46:00Z
2016-11-18,04:22,Horst-schlaemma,,→‎Einleitung,+45‎ ,44.012,159796189,2016-11-18T04:22:00Z
2016-11-18,04:20,Horst-schlaemma,k,→‎Einleitung,+35‎ ,43.967,159796167,2016-11-18T04:20:00Z
2016-11-16,16:01,Phi,,→‎Ursachen:  wieso viele?,-6‎ ,43.932,159744352,2016-11-16T16:01:00Z
2016-11-16,15:53,Horst-schlaemma,,"→‎Ursachen:  Susanne Frölich-Steffen: ''Rechtspopulistische Herausforderer in Konkordanzdemokratien. Erfahrungen aus Österreich, der Schweiz und den Niederlanden.",+714‎ ,43.938,159744144,2016-11-16T15:53:00Z
2016-11-16,15:49,Horst-schlaemma,,→‎Einleitung:  Urs.,+253‎ ,43.224,159744022,2016-11-16T15:49:00Z
2016-11-16,15:47,Horst-schlaemma,,/*  Ursachen in politilogischer Grundl.forschung,+3.040‎ ,42.971,159743923,2016-11-16T15:47:00Z
2016-11-14,00:54,Armin P.,k,"WP:Assoziative Verweise beachten; bitte keine linkcontainer anlegen, steht entweder im Text oder in einem nicht erklärten Zusammenhang",-148‎ ,39.931,159668574,2016-11-14T00:54:00Z
2016-11-14,00:51,W. Edlmeier,k,"92.209.80.212 (<a href=""/w/index.php?title=Benutzer_Diskussion:92.209.80.212&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:92.209.80.212 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:B.A.Enz"" title=""Benutzer:B.A.Enz"">B.A.Enz zurückgesetzt",+28‎ ,40.079,159668509,2016-11-14T00:51:00Z
2016-11-14,00:50,92.209.80.212,,Beleidigung vermeiden,-28‎ ,40.051,159668479,2016-11-14T00:50:00Z
2016-11-10,18:27,B.A.Enz,k,→‎Populismus als Strategie:  sonst kein Komma vor «oder»,+3‎ ,40.079,159562239,2016-11-10T18:27:00Z
2016-11-10,14:15,Horst-schlaemma,,→‎Populismus als Strategie:  ebenfalls im Ref,+142‎ ,40.076,159555456,2016-11-10T14:15:00Z
2016-11-10,13:48,Horst-schlaemma,,→‎Einleitung:  ergänzt,+158‎ ,39.934,159554805,2016-11-10T13:48:00Z
2016-11-10,13:39,Horst-schlaemma,,→‎Einleitung:  soziale Bewegungen,+84‎ ,39.776,159554578,2016-11-10T13:39:00Z
2016-11-10,13:37,Horst-schlaemma,k,→‎Einleitung,+17‎ ,39.692,159554503,2016-11-10T13:37:00Z
2016-11-10,13:35,Horst-schlaemma,,→‎Einleitung:  ergänzt,+29‎ ,39.675,159554473,2016-11-10T13:35:00Z
2016-11-10,12:49,Horst-schlaemma,,→‎Einleitung:  ausgebaut,+498‎ ,39.646,159553259,2016-11-10T12:49:00Z
2016-09-14,14:52,Ama von und zu,k,Link,+4‎ ,39.148,157921605,2016-09-14T14:52:00Z
2016-08-18,19:23,Kungfu-Korrektor,,→‎Literatur,+220‎ ,39.144,157154299,2016-08-18T19:23:00Z
2016-08-01,21:06,SigmaB,k,"77.6.49.159 (<a href=""/w/index.php?title=Benutzer_Diskussion:77.6.49.159&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:77.6.49.159 (Seite nicht vorhanden)"">Diskussion) rückgängig gemacht (<a href=""/wiki/Wikipedia:Huggle"" title=""Wikipedia:Huggle"">HG) (3.1.21)",-130‎ ,38.924,156641060,2016-08-01T21:06:00Z
2016-08-01,21:05,77.6.49.159,,→‎Rechtspopulismus,+130‎ ,39.054,156641029,2016-08-01T21:05:00Z
2016-07-06,14:41,Seewolf,k,"Maaaruuu1 (<a href=""/wiki/Benutzer_Diskussion:Maaaruuu1"" title=""Benutzer Diskussion:Maaaruuu1"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Wandervogel"" title=""Benutzer:Wandervogel"">Wandervogel zurückgesetzt",+28‎ ,38.924,155915761,2016-07-06T14:41:00Z
2016-07-06,14:17,Maaaruuu1,,"Populismus hat nichts mit Intellekt zu tun. Es wird versucht Populismus als Unwort darzustellen, zur Diffamierung anderen politischen Parteien/Gruppen/Richtungen.",-23‎ ,38.896,155915146,2016-07-06T14:17:00Z
2016-07-06,14:04,Maaaruuu1,,"Inhalt korrigiert, Populismus hat nichts mit Intellekt zu tun.",-5‎ ,38.919,155914816,2016-07-06T14:04:00Z
2016-06-26,12:08,Wandervogel,,→‎Populismus als Strategie,+243‎ ,38.924,155638781,2016-06-26T12:08:00Z
2016-06-24,18:49,Geländewagen,k,→‎Rechtspopulismus:  leerzeichen,+1‎ ,38.681,155601768,2016-06-24T18:49:00Z
2016-06-24,18:49,Geländewagen,,→‎Rechtspopulismus:  +AfD,+54‎ ,38.68,155601766,2016-06-24T18:49:00Z
2016-06-24,11:36,Louis Wu,k,→‎Literatur:  Wikilinks,+12‎ ,38.626,155590864,2016-06-24T11:36:00Z
2016-06-24,11:35,Louis Wu,,→‎Literatur:  + Jan-Werner Müller,+76‎ ,38.614,155590842,2016-06-24T11:35:00Z
2016-05-18,10:42,Ilja Lorek,k,→‎Literatur:  erg,+198‎ ,38.538,154478399,2016-05-18T10:42:00Z
2016-05-16,21:50,Rmcharb,,2A02:908:FD30:1D80:3926:76DA:E42:4750 rückgängig gemacht; keine Verbesserung,-116‎ ,38.34,154439119,2016-05-16T21:50:00Z
2016-05-16,21:47,2a02:908:fd30:1d80:3926:76da:e42:4750,,→‎Linkspopulismus,+116‎ ,38.456,154439051,2016-05-16T21:47:00Z
2016-05-13,06:29,Maasikaru,k,"Abinfimo (<a href=""/w/index.php?title=Benutzer_Diskussion:Abinfimo&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:Abinfimo (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:H%C3%A4uslebauer"" title=""Benutzer:Häuslebauer"">Häuslebauer zurückgesetzt",-6‎ ,38.34,154327273,2016-05-13T06:29:00Z
2016-05-13,06:29,Abinfimo,,Grammatik korrigiert,+6‎ ,38.346,154327269,2016-05-13T06:29:00Z
2016-04-25,13:52,Häuslebauer,,Schleppnaja rückgängig gemacht;,-113‎ ,38.34,153795524,2016-04-25T13:52:00Z
2016-04-25,13:47,Schleppnaja,,,+113‎ ,38.453,153795365,2016-04-25T13:47:00Z
2016-03-14,13:41,Horst Gräbner,,"188.103.135.44 wurde verworfen; keine Verbesserung, beide Schreibungen zulässig",+1‎ ,38.34,152490733,2016-03-14T13:41:00Z
2016-03-14,13:36,188.103.135.44,,→‎Sozialwissenschaft,-1‎ ,38.339,152490618,2016-03-14T13:36:00Z
2016-02-11,21:04,Sprachpfleger,k,→‎Wirkmechanismen:  u. a. Kommasetzung,-3‎ ,38.34,151375522,2016-02-11T21:04:00Z
2016-02-05,18:39,B.A.Enz,k,→‎Wirkmechanismen:  etwas wikifiziert,+12‎ ,38.343,151114283,2016-02-05T18:39:00Z
2016-02-05,15:57,Gonzo.Lubitsch,,→‎Wirkmechanismen,+337‎ ,38.331,151106349,2016-02-05T15:57:00Z
2016-02-05,15:51,Gonzo.Lubitsch,,→‎Wirkmechanismen,+6‎ ,37.994,151105154,2016-02-05T15:51:00Z
2016-02-05,15:50,Gonzo.Lubitsch,,→‎Wirkmechanismen:  erg.,+1.113‎ ,37.988,151105040,2016-02-05T15:50:00Z
2016-01-25,11:23,Nuuk,k,→‎Linkspopulismus,+4‎ ,36.875,150662128,2016-01-25T11:23:00Z
2016-01-21,21:38,Dr. Karl-Heinz Best,,→‎Weblinks:  erg,+15‎ ,36.871,150523024,2016-01-21T21:38:00Z
2016-01-16,15:48,B.A.Enz,k,Typographisches,+157‎ ,36.856,150293921,2016-01-16T15:48:00Z
2016-01-16,15:02,Bujo,,"87.142.206.102 rückgängig gemacht; nett gemeint, aber das ist ein wörtliches Zitat, das kann man nicht einfach korrigieren.",-2‎ ,36.699,150291995,2016-01-16T15:02:00Z
2016-01-15,12:41,87.142.206.102,,→‎Sozialwissenschaft,+2‎ ,36.701,150243323,2016-01-15T12:41:00Z
2015-11-03,20:31,Cekay,k,→‎Literatur,+10‎ ,36.699,147677031,2015-11-03T20:31:00Z
2015-10-17,12:18,77.56.53.183,,,-12‎ ,36.689,147084338,2015-10-17T12:18:00Z
2015-10-17,12:16,77.56.53.183,,→‎Weblinks,+35‎ ,36.701,147084309,2015-10-17T12:16:00Z
2015-10-12,15:36,Pittimann,k,"93.104.138.17 (<a href=""/w/index.php?title=Benutzer_Diskussion:93.104.138.17&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:93.104.138.17 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Ulitz"" title=""Benutzer:Ulitz"">Ulitz zurückgesetzt",-6‎ ,36.666,146933214,2015-10-12T15:36:00Z
2015-10-12,15:36,93.104.138.17,,→‎Populismus als Strategie,+6‎ ,36.672,146933209,2015-10-12T15:36:00Z
2015-09-25,23:17,Ulitz,k,"""einfachen Volkes"" mal getüddelt. Ich habe mich nicht getraut, stattdessen ""einfältigen Volkes"" zu schreiben",+7‎ ,36.666,146405434,2015-09-25T23:17:00Z
2015-09-19,07:05,Ute Erb,k,http://www.duden.de/rechtschreibung/einhergehen. Apostroph u. a.,+66‎ ,36.659,146187985,2015-09-19T07:05:00Z
2015-09-13,16:15,Nuuk,k,→‎Literatur,+4‎ ,36.593,145999888,2015-09-13T16:15:00Z
2015-08-30,08:34,GünniX,k,Klammern korrigiert,-1‎ ,36.589,145548504,2015-08-30T08:34:00Z
2015-08-20,13:03,Bujo,,→‎Sozialwissenschaft,+1‎ ,36.59,145223434,2015-08-20T13:03:00Z
2015-08-20,13:01,Bujo,,→‎Sozialwissenschaft,-6‎ ,36.589,145223351,2015-08-20T13:01:00Z
2015-08-20,13:01,Bujo,,→‎Sozialwissenschaft,+1.283‎ ,36.595,145223317,2015-08-20T13:01:00Z
2015-08-20,12:36,Bujo,,,+985‎ ,35.312,145222314,2015-08-20T12:36:00Z
2015-08-20,11:02,Bujo,,→‎Linkspopulismus,+75‎ ,34.327,145218990,2015-08-20T11:02:00Z
2015-08-20,10:58,Bujo,,→‎Weitere,+423‎ ,34.252,145218847,2015-08-20T10:58:00Z
2015-08-20,10:36,Bujo,,→‎Literatur:  +aktueller,+116‎ ,33.829,145218069,2015-08-20T10:36:00Z
2015-08-20,10:31,Bujo,,"→‎Literatur:  zu speziell. Hier soll Literatur über Populismus *als solchen* stehen (<a href=""/wiki/Wikipedia:LIT"" class=""mw-redirect"" title=""Wikipedia:LIT"">WP:LIT)",-245‎ ,33.713,145217962,2015-08-20T10:31:00Z
2015-08-20,10:30,Bujo,,→‎Literatur:  +,+288‎ ,33.958,145217931,2015-08-20T10:30:00Z
2015-08-20,10:23,Bujo,,"→‎Literatur:  kein Schriftenverzeichnis von Hartleb. Auswahl muss genügen (<a href=""/wiki/Wikipedia:LIT"" class=""mw-redirect"" title=""Wikipedia:LIT"">WP:LIT)",-783‎ ,33.67,145217777,2015-08-20T10:23:00Z
2015-08-20,10:22,Bujo,,alphabetisch,+6‎ ,34.453,145217738,2015-08-20T10:22:00Z
2015-08-20,10:18,Bujo,,"WP:LIT: Es soll nur Literatur gelistet werden, deren Gegenstand auch der Gegenstand des Artikels ist. <a href=""/wiki/Rechtspopulismus"" title=""Rechtspopulismus"">Rechtspopulismus hat einen eigenen Artikel mit eigener Literaturliste.",-3.271‎ ,34.447,145217629,2015-08-20T10:18:00Z
2015-07-27,18:44,Casra,,→‎Literatur:  korr.,0‎ ,37.718,144454403,2015-07-27T18:44:00Z
2015-07-27,15:13,Imagrabber,,,+177‎ ,37.718,144447361,2015-07-27T15:13:00Z
2015-07-14,13:25,Jesi,,→‎Literatur:  wikilinks,+9‎ ,37.541,144021796,2015-07-14T13:25:00Z
2015-07-08,21:10,Bujo,,WP:TF,-226‎ ,37.532,143856752,2015-07-08T21:10:00Z
2015-07-08,20:46,Bujo,,WP:OMA),+856‎ ,37.758,143855796,2015-07-08T20:46:00Z
2015-07-08,20:37,Bujo,,Besser erst Populismus allgemein zu beschreiben und dann auf individuelle Formen einzugehen.,+3.552‎ ,36.902,143855536,2015-07-08T20:37:00Z
2015-07-08,19:22,Bujo,,→‎Weitere,+9‎ ,33.35,143853196,2015-07-08T19:22:00Z
2015-07-08,19:21,Bujo,,→‎Linkspopulismus,+539‎ ,33.341,143853161,2015-07-08T19:21:00Z
